IAD081,NW18DB4034,IAD081ROMP01,hilemam,2019-04-17,2019-06-03,2019-07-31,2019-07-18
IAD081,NW18DB4034,IAD081ROMP01,hilemam,2019-04-17,2019-06-03,2019-07-31,2019-07-18
DUB060,NW18DB4004,DUB060ROMP01,stkeck,2019-09-16,2019-10-21,2019-12-23,2019-12-05
DUB060,NW18DB4004,DUB060ROMP01,stkeck,2019-09-16,2019-10-21,2019-12-23,2019-12-05
PDX065,NW18DB4031,PDX065ROMP01,santsrid,2019-10-31,2020-01-06,2020-02-13,2020-02-20
PDX065,NW18DB4031,PDX065ROMP01,santsrid,2019-10-31,2020-01-06,2020-02-13,2020-02-20
DUB066,NW18DB4003,DUB066ROMP01,stkeck,2019-11-14,2020-01-13,2020-02-20,2020-02-27
DUB066,NW18DB4003,DUB066ROMP01,stkeck,2019-11-14,2020-01-13,2020-02-20,2020-02-27
BOM062,NW18DB4048,BOM062ROMP01,sannair,2020-07-20,2020-03-20,2020-11-09,2020-05-04
CMH057,NW19DB2024,CMH057ROMP01,stkeck,2020-03-30,2020-05-29,2020-07-13,2020-07-13
CMH058,NW19DB3003,CMH058ROMP01,stkeck,2020-03-30,2020-05-29,2020-07-13,2020-07-13
SYD071,NW20DB2002,SYD071COLP01,sannair,2020-04-10,2020-06-01,2020-07-31,2020-07-16
CMH056,NW18DB4022,CMH056ROMP01,stkeck,2020-03-31,2020-06-03,2020-07-14,2020-07-18
IAD146,NW18DB4043,IAD146ROMP01,cifizzar,2020-04-06,2020-06-08,2020-07-20,2020-07-23
IAD146,NW18DB4043,IAD146ROMP01,cifizzar,2020-04-06,2020-06-08,2020-07-20,2020-07-23
IAD146,NW18DB4043,IAD146ROMP01,cifizzar,2020-04-06,2020-06-08,2020-07-20,2020-07-23
IAD118,NW19DB3002,IAD118ROMP01,cifizzar,2020-04-20,2020-06-15,2020-08-03,2020-07-30
IAD118,NW19DB3002,IAD118ROMP01,cifizzar,2020-04-20,2020-06-15,2020-08-03,2020-07-30
IAD118,NW19DB3002,IAD118ROMP01,cifizzar,2020-04-20,2020-06-15,2020-08-03,2020-07-30
NRT064,NW19DB2034,NRT064COLP01,sannair,2020-02-24,2020-07-01,2020-08-10,2020-08-15
PDX066,NW18DB4032,PDX066ROMP01,tmocook,2020-04-30,2020-07-06,2020-08-13,2020-08-20
DUB058,NW18DB4007,DUB058ROMP01,stkeck,2020-05-25,2020-07-10,2020-09-07,2020-08-24
DUB058,NW18DB4007,DUB058ROMP01,stkeck,2020-05-25,2020-07-10,2020-09-07,2020-08-24
IAD131,NW18DB4042,IAD131ROMP01,cifizzar,2020-05-07,2020-07-13,2020-08-20,2020-08-27
IAD131,NW18DB4042,IAD131ROMP01,cifizzar,2020-05-07,2020-07-13,2020-08-20,2020-08-27
IAD131,NW18DB4042,IAD131ROMP01,cifizzar,2020-05-07,2020-07-13,2020-08-20,2020-08-27
IAD131,NW18DB4042,IAD131ROMP01,cifizzar,2020-05-07,2020-07-13,2020-08-20,2020-08-27
PDX091,NW20DB1003,PDX091ROMP01,tmocook,2020-05-28,2020-08-10,2020-09-10,2020-09-24
PDX091,NW20DB1003,PDX091ROMP01,tmocook,2020-05-28,2020-08-10,2020-09-10,2020-09-24
IAD151,NW19DB2032,IAD151ROMP01,cifizzar,2020-06-01,2020-08-17,2020-09-14,2020-10-01
IAD151,NW19DB2032,IAD151ROMP01,cifizzar,2020-06-01,2020-08-17,2020-09-14,2020-10-01
IAD151,NW19DB2032,IAD151ROMP01,cifizzar,2020-06-01,2020-08-17,2020-09-14,2020-10-01
PDX067,NW20DB1002,PDX067ROMP01,santsrid,2020-06-01,2020-08-17,2020-09-14,2020-10-01
PDX067,NW20DB1002,PDX067ROMP01,santsrid,2020-06-01,2020-08-17,2020-09-14,2020-10-01
LHR064,NW19DB1001,LHR064COLP01,stkeck,2020-06-17,2020-08-26,2020-10-07,2020-10-10
FRA082,NW19DB4004,FRA082COLP01,stkeck,2020-06-05,2020-08-28,2020-09-25,2020-10-12
IAD100,NW19DB4012,IAD100ROMP01,tmocook,2020-07-06,2020-09-21,2020-10-19,2020-11-05
IAD100,NW19DB4012,IAD100ROMP01,tmocook,2020-07-06,2020-09-21,2020-10-19,2020-11-05
IAD100,NW19DB4012,IAD100ROMP01,tmocook,2020-07-06,2020-09-21,2020-10-19,2020-11-05
NRT069,NW19DB1008,NRT069COLP01,sannair,2020-08-09,2020-10-01,2020-11-01,2020-11-15
BOM061,NW19DB1003,BOM061COLP01,sannair,2020-07-10,2020-10-02,2020-10-30,2020-11-16
ICN063,NW18DB4055,ICN063COLP01,sannair,2020-08-21,2020-11-13,2020-12-11,2020-12-28
IAD140,NW19DB2007,IAD140ROMP01,cifizzar,2020-09-14,2020-11-30,2020-12-28,2021-01-14
IAD147,NW18DB4044,IAD147ROMP01,tmocook,2020-10-05,2020-12-07,2021-01-18,2021-01-21
IAD147,NW18DB4044,IAD147ROMP01,tmocook,2020-10-05,2020-12-07,2021-01-18,2021-01-21
IAD119,NW19DB4003,IAD119ROMP01,cifizzar,2020-10-19,2020-12-14,2021-02-01,2021-01-28
IAD119,NW19DB4003,IAD119ROMP01,cifizzar,2020-10-19,2020-12-14,2021-02-01,2021-01-28
SIN065,NW19DB2035,SIN065COLP01,,2020-10-13,2021-01-05,2021-02-02,2021-02-19
PDX068,NW20DB2080,PDX068ROMP01,danmicha,2020-11-09,2021-01-18,2021-02-22,2021-03-04
LHR057,NW19DB1002,LHR057COLP01,stkeck,2020-11-18,2021-01-28,2021-03-10,2021-03-14
CDG070,NW19DB2037,CDG070COLP01,cifizzar,2020-12-04,2021-02-12,2021-03-26,2021-03-29
PDX069,NW20DB2075,PDX069ROMP01,danmicha,2020-12-07,2021-02-15,2021-03-22,2021-04-01
PDX069,NW20DB2075,PDX069ROMP01,danmicha,2020-12-07,2021-02-15,2021-03-22,2021-04-01
IAD175,NW20DB1012,IAD175ROMP01,stkeck,2020-12-07,2021-02-22,2021-03-22,2021-04-08
IAD175,NW20DB1012,IAD175ROMP01,stkeck,2020-12-07,2021-02-22,2021-03-22,2021-04-08
IAD101,NW20DB1009,IAD101ROMP01,cifizzar,2020-12-28,2021-03-08,2021-04-12,2021-04-22
IAD152,NW20DB1008,IAD152ROMP01,cifizzar,2020-12-21,2021-03-08,2021-04-05,2021-04-22
IAD152,NW20DB1008,IAD152ROMP01,cifizzar,2020-12-21,2021-03-08,2021-04-05,2021-04-22
IAD152,NW20DB1008,IAD152ROMP01,cifizzar,2020-12-21,2021-03-08,2021-04-05,2021-04-22
IAD101,NW20DB1009,IAD101ROMP01,cifizzar,2020-12-28,2021-03-08,2021-04-12,2021-04-22
CMH059,NW20DB2042,CMH059ROMP01,danmicha,2020-12-28,2021-03-10,2021-04-12,2021-04-24
CMH060,NW20DB2043,CMH060ROMP01,danmicha,2020-12-28,2021-03-15,2021-04-12,2021-04-29
CMH061,NW20DB2044,CMH061ROMP01,danmicha,2020-12-28,2021-03-15,2021-04-12,2021-04-29
DUB084,NW18DB4006,DUB084ROMP01,danmicha,2021-01-04,2021-03-22,2021-04-19,2021-05-06
ICN066,NW20DB2065,ICN066COLP01,danmicha,2021-01-23,2021-04-15,2021-05-15,2021-05-30
IAD120,NW19DB2006,IAD120ROMP01,danmicha,2021-02-08,2021-04-23,2021-05-24,2021-06-07
IAD120,NW19DB2006,IAD120ROMP01,danmicha,2021-02-08,2021-04-23,2021-05-24,2021-06-07
IAD086,NW19DB4002,IAD086ROMP01,cifizzar,2021-02-15,2021-05-03,2021-05-31,2021-06-17
IAD086,NW19DB4002,IAD086ROMP01,cifizzar,2021-02-15,2021-05-03,2021-05-31,2021-06-17
IAD086,NW19DB4002,IAD086ROMP01,cifizzar,2021-02-15,2021-05-03,2021-05-31,2021-06-17
IAD086,NW19DB4002,IAD086ROMP01,cifizzar,2021-02-15,2021-05-03,2021-05-31,2021-06-17
PDX092,NW20DB2038,PDX092ROMP01,danmicha,2021-02-22,2021-05-03,2021-06-07,2021-06-17
PDX092,NW20DB2038,PDX092ROMP01,danmicha,2021-02-22,2021-05-03,2021-06-07,2021-06-17
IAD129,NW20DB1010,IAD129ROMP01,cifizzar,2021-03-15,2021-05-17,2021-06-28,2021-07-01
IAD129,NW20DB1010,IAD129ROMP01,cifizzar,2021-03-15,2021-05-17,2021-06-28,2021-07-01
IAD083,NW20DB2024,IAD083ROMP01,danmicha,2021-03-15,2021-05-17,2021-06-28,2021-07-01
DUB069,NW20DB2036,DUB069ROMP01,danmicha,2021-03-15,2021-06-21,2021-07-05,2021-08-05
DUB069,NW20DB2036,DUB069ROMP01,danmicha,2021-03-15,2021-06-21,2021-07-05,2021-08-05
NRT066,NW20DB2066,NRT066COLP01,danmicha,2021-04-11,2021-07-01,2021-08-01,2021-08-15
BJS051,NW20DB2070,BJS051COLP01,danmicha,2021-04-23,2021-07-02,2021-08-13,2021-08-16
PDX109,NW20DB3001,PDX109ROMP01,danmicha,2021-04-26,2021-07-05,2021-08-09,2021-08-19
DUB094,NW20DB2037,DUB094ROMP01,danmicha,2021-05-18,2021-08-02,2021-08-31,2021-09-16
IAD161,NW20DB2025,IAD161ROMP01,danmicha,2021-06-07,2021-08-02,2021-09-27,2021-09-16
IAD161,NW20DB2025,IAD161ROMP01,danmicha,2021-06-07,2021-08-02,2021-09-27,2021-09-16
IAD102,NW20DB2007,IAD102ROMP01,cifizzar,2021-08-16,2021-08-09,2021-11-29,2021-09-23
IAD102,NW20DB2007,IAD102ROMP01,cifizzar,2021-08-16,2021-08-09,2021-11-29,2021-09-23
GRU065,NW20DB2048,GRU065ROMP01,danmicha,2021-06-03,2021-08-20,2021-09-16,2021-10-04
IAD155,NW20DB2004,IAD155ROMP01,cifizzar,2021-08-09,2021-10-18,2021-11-22,2021-12-02
IAD155,NW20DB2004,IAD155ROMP01,cifizzar,2021-08-09,2021-10-18,2021-11-22,2021-12-02
IAD155,NW20DB2004,IAD155ROMP01,cifizzar,2021-08-09,2021-10-18,2021-11-22,2021-12-02
IAD155,NW20DB2004,IAD155ROMP01,cifizzar,2021-08-09,2021-10-18,2021-11-22,2021-12-02
GRU063,NW20DB2083,GRU063ROMP01,danmicha,2021-08-13,2021-10-29,2021-11-26,2021-12-13
SIN061,NW20DB2069,SIN061ROMP01,danmicha,2021-08-13,2021-10-29,2021-12-03,2021-12-13
NRT072,NW20DB2071,NRT072ROMP01,danmicha,2021-08-20,2021-11-12,2021-12-10,2021-12-27
SYD055,NW20DB2072,SYD055ROMP01,danmicha,2021-08-27,2021-11-12,2021-12-10,2021-12-27
SFO061,NW20DB2046,SFO061ROMP01,danmicha,2021-08-20,2022-01-03,2022-01-28,2022-02-17
IAD162,NW20DB2082,IAD162ROMP01,danmicha,2021-11-29,2022-01-17,2022-03-14,2022-03-03
IAD162,NW20DB2082,IAD162ROMP01,danmicha,2021-11-29,2022-01-17,2022-03-14,2022-03-03
IAD163,NW20DB2084,IAD163ROMP01,danmicha,2021-12-27,2022-02-14,2022-04-11,2022-03-31
IAD163,NW20DB2084,IAD163ROMP01,danmicha,2021-12-27,2022-02-14,2022-04-11,2022-03-31
LHR065,NW20DB2050,LHR065COLP01,danmicha,2021-11-19,2022-02-14,2022-03-11,2022-03-31
PDX093,NW20DB3008,PDX093ROMP01,danmicha,2022-01-17,2022-03-28,2022-05-02,2022-05-12
PDX093,NW20DB3008,PDX093ROMP01,danmicha,2022-01-17,2022-03-28,2022-05-02,2022-05-12
IAD094,NW20DB2081,IAD094ROMP01,danmicha,2022-02-14,2022-04-18,2022-05-30,2022-06-02
IAD156,NW20DB2033,IAD156ROMP01,cifizzar,2022-02-14,2022-04-29,2022-05-30,2022-06-13
IAD156,NW20DB2033,IAD156ROMP01,cifizzar,2022-02-14,2022-04-29,2022-05-30,2022-06-13
IAD156,NW20DB2033,IAD156ROMP01,cifizzar,2022-02-14,2022-04-29,2022-05-30,2022-06-13
IAD156,NW20DB2033,IAD156ROMP01,cifizzar,2022-02-14,2022-04-29,2022-05-30,2022-06-13
DUB068,NW20DB2039,DUB068ROMP01,danmicha,2022-03-25,2022-06-10,2022-07-08,2022-07-25
DUB068,NW20DB2039,DUB068ROMP01,danmicha,2022-03-25,2022-06-10,2022-07-08,2022-07-25
GRU067,NW20DB2078,GRU067ROMP01,danmicha,2023-03-20,2023-06-01,2023-07-03,2023-07-16
IAD121,NW20DB2003,IAD121ROMP01,cifizzar,2024-02-12,2024-04-15,2024-05-27,2024-05-30
IAD121,NW20DB2003,IAD121ROMP01,cifizzar,2024-02-12,2024-04-15,2024-05-27,2024-05-30
